phase,seed,decision,initial_bucket,action,reward,next_bucket,variant_a,Q_before_farm,Q_before_return,Q_after_farm,Q_after_return,dist_before,dist_after
BEFORE,4242,0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,farm,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,4242,1,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,sell_junk,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,4242,2,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,return_to_giver,-4.5,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,0.0,0.0,0.0,0.0,81.7,3.7
BEFORE,4242,3,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,return_to_giver,1.1805,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,0.0,0.0,0.0,0.0,81.1,22.0
BEFORE,5353,0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,5353,1,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,5353,2,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,return_to_giver,-4.5,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,0.0,0.0,0.0,0.0,81.7,3.7
BEFORE,5353,3,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.1,81.1
BEFORE,5353,4,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,farm,-5.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,0.0,0.0,0.0,0.0,81.1,26.9
BEFORE,6464,0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,farm,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,6464,1,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,6464,2,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,6464,3,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,return_to_giver,-4.5,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,0.0,0.0,0.0,0.0,81.7,3.7
BEFORE,6464,4,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,farm,0.2931,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,0.0,0.0,0.0,0.0,81.1,66.4
BEFORE,777,0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,farm,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,777,1,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,loot,0.1,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,777,2,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,farm,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,777,3,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,sell_junk,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,777,4,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,loot,0.05,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,777,5,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,777,6,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,-5.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,0.0,0.0,0.0,0.0,81.7,26.9
BEFORE,1234,0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,1234,1,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,sell_junk,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,0.0,0.0,0.0,0.0,81.7,81.7
BEFORE,1234,2,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,return_to_giver,-4.5,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,0.0,0.0,0.0,0.0,81.7,3.7
BEFORE,1234,3,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,return_to_giver,1.1805,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,0.0,0.0,0.0,0.0,81.1,22.0
AFTER,4242,0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,farm,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,4242,1,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,sell_junk,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,4242,2,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,sell_junk,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,4242,3,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,return_to_giver,-4.5,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,-0.5486,-1.2773,-0.5486,-1.2773,81.7,3.7
AFTER,4242,4,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,sell_junk,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.1,81.1
AFTER,4242,5,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,return_to_giver,1.1805,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,-0.5486,-1.2773,-0.5486,-1.2773,81.1,22.0
AFTER,5353,0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,5353,1,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,5353,2,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,5353,3,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,5353,4,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,farm,-5.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,-0.5486,-1.2773,-0.5486,-1.2773,81.7,26.9
AFTER,6464,0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,farm,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,6464,1,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,6464,2,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,6464,3,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,6464,4,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,farm,-5.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,-0.5486,-1.2773,-0.5486,-1.2773,81.7,27.3
AFTER,6464,5,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,sell_junk,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,80.4,80.4
AFTER,6464,6,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,loot,0.1,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,80.4,80.4
AFTER,6464,7,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,80.4,80.4
AFTER,6464,8,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,sell_junk,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,80.4,80.4
AFTER,6464,9,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,farm,-5.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,80.4,83.1
AFTER,6464,10,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,loot,0.05,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,83.1,83.1
AFTER,6464,11,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,return_to_giver,0.942,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,-0.5486,-1.2773,-0.5486,-1.2773,83.1,36.0
AFTER,777,0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,farm,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,777,1,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,loot,0.1,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,777,2,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,loot,0.05,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,777,3,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,sell_junk,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,777,4,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,loot,0.05,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,777,5,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,777,6,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,loot,0.1,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,777,7,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,loot,0.05,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,777,8,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,return_to_giver,-4.5,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,-0.5486,-1.2773,-0.5486,-1.2773,81.7,3.7
